Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
20,-11.04482,0.7355294,-1.233687,10.03156,-0.4583945,-1.480548,-5.406098,-0.0001844151,0,5.999009,-2.884007,-14.8488,10.81099,-1.050941,2.540526,-6.727153,-0.0005190944,0,7.217598,-6.336394,-9.165833,2.706024,0.1869355,-1.343775,-14.01009,-2.541404,16.61172,-6.873209,0.1266688,4.861954,6.031305,-4.243699,-1.052019,2.192853,-16.28443,-2.141283,-2.111554,-0.656067,-0.7888232,22.37358,-2.219634,-7.59856,-5.926884,-1.333982,7.272724,5.928174,-3.356758,-0.09691329,8.174979,-19.32313,0.5074486
30,-11.00639,0.7808887,-1.275028,10.1779,-0.429332,-1.643301,-5.773124,-0.0001775849,0,6.152942,-2.969083,-14.75359,10.80247,-1.091478,2.372236,-6.796734,-0.000539585,0,7.214309,-6.470068,-8.990644,2.710361,0.1920786,-1.353641,-14.01005,-2.546841,16.60719,-6.845673,0.1153499,4.828671,6.088177,-4.260249,-1.039482,2.028061,-16.39426,-2.15004,-2.123938,-0.6475634,-0.7853427,22.37879,-2.223732,-7.596261,-5.922814,-1.348862,7.286323,5.937061,-3.36423,-0.1101434,8.246478,-19.31447,0.5074486
40,-10.96245,0.8327845,-1.323821,10.06232,-0.3891295,-1.822738,-5.624063,-0.0001844151,0,6.05793,-2.894477,-14.66566,10.48828,-1.15129,2.159758,-6.277636,-0.000505434,0,6.97682,-6.46614,-8.791,2.717574,0.1980345,-1.366303,-14.01142,-2.552988,16.60432,-6.820529,0.1008706,4.791145,6.140216,-4.270473,-1.024884,1.862986,-16.50133,-2.161479,-2.144023,-0.6397702,-0.7808449,22.38506,-2.226334,-7.593857,-5.921689,-1.362862,7.308043,5.943595,-3.370746,-0.1186941,8.277066,-19.3171,0.5082192
50,-10.91679,0.8858414,-1.375866,10.2056,-0.3583937,-2.025454,-6.002373,-0.0001844151,0,6.171585,-2.951803,-14.5387,10.32072,-1.204477,1.931176,-6.062718,-0.0004576227,0,6.874207,-6.523254,-8.56699,2.728715,0.2056229,-1.383384,-14.01195,-2.561068,16.60516,-6.797138,0.09065409,4.747828,6.187765,-4.275425,-1.007165,1.676781,-16.60048,-2.208505,-2.173128,-0.6321682,-0.7740492,22.38924,-2.227379,-7.592229,-5.924072,-1.377998,7.338984,5.946464,-3.375247,-0.1219466,8.310566,-19.32072,0.5109072
60,-10.86963,0.9446766,-1.428207,10.35117,-0.3222415,-2.224224,-6.3943,-0.0001844151,0,6.277135,-3.015658,-14.42301,10.08364,-1.264835,1.697659,-5.720841,-0.0004712831,0,6.718402,-6.517653,-8.347415,2.74174,0.215028,-1.406948,-14.01345,-2.571341,16.6082,-6.751395,0.07132626,4.683802,6.208673,-4.265303,-0.9707584,1.413885,-16.75575,-2.229497,-2.207619,-0.6243339,-0.7631016,22.39196,-2.228076,-7.591195,-5.928438,-1.39297,7.379801,5.948112,-3.375671,-0.1136409,8.342685,-19.32257,0.5116726
70,-10.82318,1.010902,-1.484376,10.57326,-0.2801402,-2.399962,-6.94413,-0.0001707547,0,6.438367,-3.131819,-14.33847,9.865795,-1.331368,1.473925,-5.424264,-0.0004712831,0,6.583234,-6.506001,-8.126974,2.754064,0.2247337,-1.440214,-14.01709,-2.584762,16.61244,-6.719919,0.0656106,4.628922,6.238097,-4.262243,-0.9485323,1.440486,-16.7795,-2.226247,-2.24472,-0.612545,-0.7470343,22.3883,-2.227338,-7.588998,-5.93247,-1.40653,7.433773,5.948144,-3.374496,-0.09278741,8.373627,-19.32317,0.5128186
80,-10.7833,1.083118,-1.539387,10.81982,-0.2294397,-2.552056,-7.534942,-0.0001844151,0,6.606874,-3.27371,-14.27633,9.635332,-1.404854,1.26764,-5.094238,-0.0004917737,0,6.437636,-6.471673,-7.923328,2.767181,0.2328138,-1.481605,-14.02052,-2.603361,16.61784,-6.684043,0.05595291,4.573351,6.257208,-4.25322,-0.9257729,1.374301,-16.7871,-2.230726,-2.284905,-0.5950256,-0.7273927,22.38326,-2.226437,-7.586904,-5.937293,-1.419824,7.489739,5.947189,-3.368731,-0.05233916,8.372524,-19.32634,0.5135812
90,-10.7503,1.164527,-1.588808,11.09918,-0.1654135,-2.678615,-8.18199,-0.0001775849,0,6.790788,-3.449642,-14.23601,9.406819,-1.48989,1.079015,-4.755511,-0.0005942265,0,6.282381,-6.430063,-7.746737,2.784177,0.2369324,-1.532635,-14.02597,-2.626775,16.6277,-6.648594,0.04423466,4.517262,6.267915,-4.237087,-0.9052542,1.195995,-16.8744,-2.248989,-2.33045,-0.5722196,-0.7022079,22.37417,-2.223917,-7.590265,-5.944815,-1.427385,7.549046,5.941715,-3.358206,0.01978234,8.40817,-19.32038,0.5128186
100,-10.72286,1.254043,-1.635542,11.40591,-0.08954378,-2.77474,-8.873916,-0.0001775849,0,6.981345,-3.659124,-14.22644,9.215631,-1.585663,0.9022229,-4.477022,-0.0006420378,0,6.146088,-6.396766,-7.593547,2.803375,0.2373901,-1.591393,-14.02954,-2.651322,16.6382,-6.615239,0.02797646,4.465653,6.27373,-4.213387,-0.8871316,1.017603,-16.94429,-2.266759,-2.379815,-0.5441748,-0.675796,22.362,-2.220283,-7.596906,-5.952724,-1.431765,7.617908,5.931248,-3.340885,0.09891172,8.315148,-19.4364,0.5539077
110,-10.706,1.346954,-1.682606,11.72891,-0.007622491,-2.853413,-9.571997,-0.0001570944,0,7.1673,-3.886084,-14.23754,9.084542,-1.68552,0.7335538,-4.288341,-0.0007308302,0.02797646,6.040723,-6.365313,-7.452614,2.823483,0.2344462,-1.657058,-14.03606,-2.674764,16.64762,-6.583592,0,4.421298,6.274043,-4.187773,-0.8688563,1.052205,-16.94436,-2.232305,-2.430835,-0.5091974,-0.6483091,22.34688,-2.217182,-7.606562,-5.960589,-1.434905,7.688225,5.921126,-3.315258,0.2017412,8.193979,-19.54252,0.5612772
