Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
150,-12.27628,-0.0721268,0.5709552,11.17558,-1.689174,1.471267,-5.208083,-0.0001844151,0,7.271841,-0.842941,-26.22995,8.689913,2.041018,1.855724,0,-0.0002663774,0,1.588439,-4.360762,-13.89724,3.039248,-0.9871126,0.4083038,-13.53626,-3.304746,16.6775,-4.393291,-3.684987,4.128125,8.241286,-5.36551,-0.3690354,0.6407191,-20.98483,-1.347556,0.1582588,0.1032042,8.022893,23.40878,-3.664506,-8.251858,-3.883629,-0.7994187,4.094213,3.694751,-2.822794,1.535059,8.25614,-15.62212,0.6558113
160,-12.27239,-0.09299303,0.6749268,11.1951,-1.685827,1.555196,-5.290799,-0.0001775849,0,7.324024,-0.8659177,-26.22522,8.687901,2.042541,1.794824,0,-0.000286868,0,1.598999,-4.360427,-13.93701,3.053001,-0.9798794,0.5185105,-13.55762,-3.295129,16.6528,-4.355231,-3.695704,4.019245,8.169117,-5.290904,-0.3051875,0.05233916,-20.9834,-1.465136,0.1643245,0.1460363,8.017852,23.39618,-3.683951,-8.245859,-3.863712,-0.8139727,4.11482,3.740312,-2.851631,1.54965,8.252001,-15.66646,0.6602717
170,-12.27005,-0.1040101,0.7273927,11.20224,-1.684454,1.598019,-5.327743,-0.0001775849,0,7.348335,-0.8771192,-26.22195,8.694794,2.043927,1.762253,0,-0.0002936981,0,1.612162,-4.365194,-13.95654,3.056718,-0.9755491,0.57743,-13.56721,-3.288907,16.6402,-4.339779,-3.694115,3.971946,8.106657,-5.234555,-0.2987072,-0.2438933,-20.95118,-1.532379,0.1678588,0.1668752,8.014643,23.39293,-3.69348,-8.243574,-3.852546,-0.8199606,4.118748,3.760829,-2.863482,1.557962,8.285128,-15.68403,0.6635236
180,-12.26844,-0.1136134,0.7810954,11.21431,-1.680821,1.641514,-5.372756,-0.0001775849,0,7.376451,-0.890363,-26.21763,8.710795,2.043558,1.728164,-0.04423466,-0.0003005283,0,1.631469,-4.37238,-13.97605,3.058191,-0.9720998,0.6394964,-13.57272,-3.282589,16.62375,-4.326128,-3.689713,3.935186,8.027933,-5.168882,-0.2960753,-0.5237671,-20.91314,-1.599855,0.1769387,0.1871745,8.010428,23.38938,-3.700153,-8.23621,-3.840583,-0.82377,4.120325,3.780045,-2.871732,1.561225,8.377495,-15.69597,0.6676395
200,-12.26569,-0.124487,0.8499581,11.22709,-1.675029,1.700308,-5.423035,-0.0001775849,0,7.406104,-0.9072199,-26.21555,8.711653,2.041448,1.680745,-0.04845664,-0.0002800378,0,1.635781,-4.370242,-13.99822,3.056782,-0.969279,0.7033216,-13.57728,-3.275779,16.60448,-4.313841,-3.683817,3.901213,7.934493,-5.094372,-0.2940859,-0.8074558,-20.85643,-1.672106,0.1876719,0.2075558,8.003295,23.38574,-3.701478,-8.22402,-3.826331,-0.8235324,4.122402,3.793747,-2.881766,1.564355,8.4088,-15.70686,0.6696879
210,-12.26296,-0.1463163,0.9598116,11.24292,-1.668035,1.790347,-5.494226,-0.0001707547,0,7.452351,-0.9302444,-26.21304,8.688285,2.039713,1.609003,0,-0.000286868,0,1.624015,-4.352996,-14.03732,3.058575,-0.965495,0.8154138,-13.59975,-3.276722,16.5908,-4.312842,-3.66725,3.810166,7.710678,-4.911555,-0.2853053,-0.9547011,-20.67316,-1.751224,0.2027088,0.2431274,8.009032,23.37002,-3.704927,-8.209419,-3.806063,-0.8216294,4.148233,3.808532,-2.893104,1.567729,8.427276,-15.72161,0.6711472
230,-12.26093,-0.1593551,1.014136,11.24059,-1.667167,1.83355,-5.511071,-0.0001775849,0,7.467292,-0.9369244,-26.21145,8.712397,2.042268,1.566855,-0.05233916,-0.000286868,0,1.651616,-4.363979,-14.05045,3.059407,-0.9611784,0.8654715,-13.608,-3.274099,16.59287,-4.319649,-3.6505,3.758913,7.5802,-4.808904,-0.2733977,-1.907623,-20.56557,-1.941385,0.2112177,0.256979,8.01915,23.36485,-3.713198,-8.212791,-3.802048,-0.8249568,4.165036,3.820903,-2.891622,1.567355,8.497707,-15.72198,0.6728944
240,-12.25699,-0.1816899,1.119076,11.23563,-1.661997,1.921219,-5.543937,-0.0001775849,0,7.49753,-0.9513224,-26.21327,8.718189,2.043299,1.488852,-0.06255726,-0.0002663774,0,1.667301,-4.365106,-14.07774,3.047867,-0.9530504,0.9837734,-13.59331,-3.25229,16.57315,-4.325131,-3.611349,3.711641,7.278718,-4.586144,-0.2470816,-1.929351,-20.31623,-2.004767,0.2462884,0.2901601,8.016039,23.37536,-3.725472,-8.201739,-3.796946,-0.8235324,4.168827,3.851682,-2.8921,1.595078,8.541597,-15.72749,0.6728944
250,-12.25649,-0.1918054,1.169356,11.23253,-1.658493,1.964135,-5.553967,-0.0001707547,0,7.508802,-0.957292,-26.21604,8.688466,2.041967,1.463265,0,-0.0003141887,0,1.641633,-4.34844,-14.10355,3.0368,-0.9484401,1.042489,-13.58714,-3.237421,16.55908,-4.332009,-3.591669,3.711935,7.116263,-4.464396,-0.2446942,-2.082623,-20.19305,-2.077825,0.2733977,0.2988686,8.013639,23.37876,-3.727405,-8.184509,-3.792147,-0.8190054,4.168383,3.857625,-2.897715,1.625219,8.569031,-15.73353,0.6743467
270,-12.25729,-0.202399,1.219328,11.22751,-1.65546,2.007596,-5.555767,-0.0001707547,0,7.515776,-0.9607276,-26.2191,8.692218,2.041701,1.438447,0,-0.0002800378,0,1.64044,-4.348979,-14.12975,3.028796,-0.9438844,1.090919,-13.59264,-3.225454,16.55297,-4.349696,-3.570948,3.712734,6.951245,-4.338768,-0.249446,-2.227916,-20.06441,-2.147307,0.3006659,0.3014231,8.022844,23.37171,-3.729031,-8.174283,-3.787652,-0.8163731,4.179919,3.85463,-2.902318,1.653156,8.598181,-15.73484,0.6769533
