Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
130,-11.37707,0.2186958,-1.394093,10.79877,-1.055326,-0.930201,-4.472601,-0.0001707547,0,4.869892,-2.851447,-14.62956,9.848999,-0.5625753,0.7343537,-3.29402,0.0004507925,-0.02797646,4.283406,-2.486503,-13.34328,3.377422,-0.0800908,-1.36085,-13.61585,-2.467577,16.75678,-5.483086,-0.7024865,4.850998,4.754686,-2.947343,-0.9383693,3.689447,-17.08056,-1.847585,-7.764756,-0.3122353,1.24537,24.02136,-2.324553,-7.631546,-5.797686,-0.3566318,4.570606,5.448092,-3.241949,0.315279,8.208797,-17.74476,0.174713
140,-11.37711,0.2175074,-1.393251,10.79443,-1.058037,-0.9314623,-4.465063,-0.0001639245,0,4.870012,-2.848735,-14.6268,9.850556,-0.5600141,0.733287,-3.298297,0.0004576227,-0.02797646,4.284457,-2.490014,-13.34321,3.378639,-0.08677072,-1.365874,-13.62221,-2.472064,16.757,-5.483014,-0.7063754,4.863313,4.74293,-2.94293,-0.9581792,3.685624,-17.08248,-1.850126,-7.752385,-0.3075293,1.248508,24.01758,-2.322046,-7.633604,-5.795488,-0.3494264,4.576643,5.435452,-3.23139,0.3220336,8.217762,-17.73412,0.1724585
150,-11.3765,0.2171795,-1.391142,10.79202,-1.059519,-0.9295698,-4.462649,-0.0001844151,0,4.871259,-2.846003,-14.62615,9.849817,-0.5586207,0.7314168,-3.298891,0.0004439623,-0.02797646,4.284184,-2.491673,-13.34358,3.379103,-0.09394925,-1.370736,-13.62907,-2.477378,16.75646,-5.485087,-0.7091401,4.870307,4.73309,-2.941701,-0.9663135,3.683339,-17.08868,-1.852663,-7.737129,-0.3041483,1.251952,24.01494,-2.32111,-7.633398,-5.792715,-0.3409232,4.584894,5.422602,-3.221056,0.3238513,8.212671,-17.7325,0.1713202
160,-11.37536,0.2169815,-1.390016,10.79002,-1.060981,-0.9270402,-4.461552,-0.0001707547,0,4.872063,-2.84446,-14.62774,9.84834,-0.5572547,0.7306137,-3.298831,0.0004576227,-0.02797646,4.283635,-2.49306,-13.34415,3.378465,-0.1009843,-1.374443,-13.63432,-2.48179,16.75481,-5.491158,-0.7099674,4.871004,4.731227,-2.941687,-0.963068,3.67919,-17.09457,-1.855302,-7.718792,-0.2995994,1.255074,24.01192,-2.321007,-7.633115,-5.791056,-0.3339648,4.592278,5.41059,-3.210961,0.3286494,8.210974,-17.73155,0.1724585
170,-11.37499,0.2166194,-1.38903,10.78907,-1.062532,-0.9247154,-4.460761,-0.0001775849,0,4.873712,-2.842493,-14.62858,9.84782,-0.5558544,0.7292733,-3.29895,0.0004576227,0,4.282674,-2.494542,-13.34383,3.375277,-0.1079716,-1.37743,-13.63907,-2.485526,16.75296,-5.495831,-0.7116191,4.865772,4.732676,-2.942357,-0.9530601,3.673331,-17.10051,-1.857516,-7.696564,-0.2931517,1.257877,24.0094,-2.320762,-7.631083,-5.789262,-0.3268584,4.598459,5.400295,-3.202867,0.3397734,8.195465,-17.74211,0.1735894
180,-11.3734,0.216879,-1.387903,10.7879,-1.063283,-0.9234449,-4.461552,-0.0001844151,0,4.874274,-2.841611,-14.62861,9.842488,-0.5553832,0.7279305,-3.291464,0.0004439623,-0.02797646,4.27993,-2.493832,-13.34368,3.370923,-0.1135451,-1.380268,-13.64098,-2.487835,16.75209,-5.503207,-0.7132671,4.859461,4.73917,-2.943094,-0.9435682,3.666288,-17.10509,-1.859517,-7.674602,-0.288275,1.262071,24.0063,-2.321896,-7.627945,-5.789499,-0.3226406,4.601847,5.393505,-3.194726,0.3527702,8.191055,-17.74431,0.174713
190,-11.37053,0.2179923,-1.386492,10.78846,-1.062764,-0.9234449,-4.467737,-0.0001366038,0,4.877529,-2.842014,-14.6286,9.835814,-0.5563326,0.7249676,-3.283364,0.0004303019,-0.02797646,4.27668,-2.492958,-13.34193,3.366739,-0.1180667,-1.384515,-13.64399,-2.488504,16.75215,-5.504062,-0.7157319,4.856456,4.738343,-2.943129,-0.9423231,3.661051,-17.10744,-1.860674,-7.653784,-0.2855702,1.268566,24.0024,-2.325351,-7.626427,-5.790413,-0.3208161,4.607318,5.38827,-3.18532,0.3669084,8.185708,-17.7468,0.174713
200,-11.36867,0.2186412,-1.386069,10.78865,-1.062429,-0.9242921,-4.470674,-0.0001844151,0,4.878131,-2.841577,-14.62822,9.833054,-0.5570019,0.7230757,-3.28074,0.0004234717,-0.02797646,4.274755,-2.492684,-13.34066,3.3622,-0.1227385,-1.390157,-13.64785,-2.488463,16.75105,-5.503171,-0.7206361,4.856367,4.735365,-2.943231,-0.9437756,3.657627,-17.10888,-1.860989,-7.633141,-0.2838627,1.276562,23.99698,-2.329627,-7.62581,-5.791632,-0.3208161,4.61535,5.384487,-3.177117,0.3774237,8.182469,-17.74789,0.174713
210,-11.3664,0.2183133,-1.386069,10.78514,-1.062969,-0.9272513,-4.46686,-0.0001775849,0,4.875239,-2.839556,-14.62532,9.834394,-0.5567287,0.7230757,-3.286821,0.0004371321,0,4.276359,-2.495061,-13.34131,3.358413,-0.1280934,-1.396617,-13.65338,-2.490369,16.74883,-5.503242,-0.7252374,4.861373,4.732055,-2.944522,-0.9477068,3.654734,-17.11025,-1.861305,-7.616411,-0.2812945,1.285118,23.99096,-2.335078,-7.626144,-5.791158,-0.3189811,4.628683,5.377422,-3.171079,0.3846134,8.182565,-17.75026,0.1780411
220,-11.36432,0.2175006,-1.387057,10.77906,-1.064314,-0.930201,-4.457467,-0.0001639245,0,4.87142,-2.835335,-14.62381,9.838192,-0.5555471,0.7241574,-3.297941,0.0004166415,-0.01978234,4.279563,-2.498791,-13.34081,3.357188,-0.133701,-1.402071,-13.65768,-2.493449,16.74906,-5.506553,-0.7324861,4.869324,4.729695,-2.94375,-0.9505931,3.653984,-17.11479,-1.86183,-7.6046,-0.2816497,1.292861,23.9849,-2.34044,-7.628357,-5.792071,-0.3177519,4.644945,5.369071,-3.166421,0.3891652,8.184916,-17.75422,0.1813082
